date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
20030102,1.82,4.39,2.68,1.91,4.32,4.98,3.03,2.72,2.02,3.09
20030103,-0.51,-1.15,-0.36,0.00,0.50,0.30,-2.40,0.87,0.66,-0.06
20030106,0.45,2.02,1.56,1.64,3.09,5.37,0.65,1.05,3.98,2.22
20030107,-0.34,-0.36,-1.20,-3.37,1.45,-0.95,-0.11,-1.31,-2.43,-0.77
20030108,-0.42,-2.03,-1.66,-0.66,-2.42,-3.10,-0.64,-1.07,0.58,-1.03
20030109,1.44,2.04,1.47,1.74,3.12,1.43,2.62,1.49,0.17,1.67
20030110,-0.15,0.24,0.31,-1.11,0.72,-0.08,-0.16,0.01,-0.55,-0.09
20030113,0.49,0.41,-0.43,-0.39,-0.52,0.41,-0.26,0.09,-1.93,0.10
20030114,-0.09,0.17,0.21,0.55,1.20,1.45,0.06,0.04,0.29,0.65
20030115,-1.14,-1.11,-1.17,-0.28,-1.90,-2.13,-1.16,-1.21,-0.23,-1.32
20030116,1.13,-0.16,0.56,0.76,-1.69,-1.35,0.02,0.06,-0.26,-0.47
20030117,-0.50,-1.11,-1.02,-0.94,-4.59,-2.11,-0.86,-0.46,-0.95,-0.53
20030121,-0.97,-1.96,-1.66,-2.03,-0.70,-2.51,-2.23,-0.71,-1.60,-1.82
20030122,-0.46,-2.87,-1.33,-0.79,-0.73,-0.44,-1.06,-0.19,-0.74,-1.42
20030123,-0.92,2.07,1.23,-0.01,2.88,-2.51,0.89,0.41,1.03,1.23
20030124,-1.73,-2.10,-2.34,-2.05,-3.53,-3.43,-2.57,-2.51,-2.14,-2.97
20030127,-1.29,-1.80,-1.89,-2.91,-1.48,-0.86,-1.49,-2.22,-2.95,-1.34
20030128,-0.07,1.19,1.32,2.08,1.79,0.33,1.17,1.89,2.32,0.92
20030129,-1.24,0.17,0.26,3.26,1.23,1.51,0.26,0.77,0.11,0.31
20030130,-1.98,-2.80,-1.82,-1.54,-3.17,-2.82,-1.24,-1.81,-1.31,-2.08
20030131,2.60,1.66,1.33,1.91,-0.51,2.93,0.83,1.67,0.83,1.53
